Age,Height,Weight,Gender,Body_Part,Exercise Name
30,180,80,0,Shoulders,Alternating Dumbbell Front Raise
60,179,79,0,Quadriceps,Prone Straight Leg Raises
35,160,71,1,Quadriceps,Prone Straight Leg Raises
28,172,67,1,Lower Back,Child's Pose
16,156,70,1,Quadriceps,Hamstring Curl
17,158,72,1,Quadriceps,Lunges
39,181,90,0,Shoulders,Dumbbell Scaption
50,172,73,0,Shoulders,Overhead Dumbbell Front Raise
51,170,70,1,Neck,Neck Rotation
52,180,80,0,Quadriceps,Hamstring Curl
17,168,73,0,Quadriceps,Prone Straight Leg Raises
15,166,64,0,Quadriceps,Dumbbell front squat
20,157,65,1,Shoulders,Alternating Deltoid Raise
21,188,102,0,Shoulders,Alternating Dumbbell Front Raise
42,180,92,0,Quadriceps,Prone Straight Leg Raises
30,168,62,1,Lower Back,Child's Pose
36,179,78,0,Shoulders,Dumbbell External Shoulder Rotation
28,171,64,1,Neck,Neck Rotation
39,166,81,1,Quadriceps,Dumbbell front squat
32,175,71,1,Lower Back,Knee To Chest Stretch
37,175,70,0,Shoulders,Cuban Press
26,168,63,1,Neck,CHIN TUCK - SUPIN
41,178,72,0,Quadriceps,Prone Straight Leg Raises
29,171,66,0,Lower Back,Knee To Chest Stretch
44,179,74,0,Shoulders,Arom Side lying Abduction
30,170,65,1,Neck,CHIN TUCK - SUPIN
35,177,71,0,Quadriceps,Prone Straight Leg Raises
28,169,67,1,Lower Back,Knee To Chest Stretch
43,180,73,0,Shoulders,Dumbbell External Shoulder Rotation
32,170,66,1,Neck,CHIN TUCK - SUPIN
37,175,70,0,Quadriceps,Prone Straight Leg Raises
26,168,63,1,Lower Back,Child's Pose
41,178,72,0,Shoulders,Standing Dumbbell Fly
29,179,88,0,Neck,Neck Rotation
44,179,74,0,Quadriceps,Prone Straight Leg Raises
30,170,65,1,Lower Back,Child's Pose
35,177,71,0,Shoulders,Arom Side lying Abduction
28,174,67,0,Neck,CHIN TUCK - SUPIN
43,180,73,0,Quadriceps,Prone Straight Leg Raises
32,170,66,1,Lower Back,Knee To Chest Stretch
37,175,70,0,Shoulders,Arom Side lying Abduction
26,168,63,1,Neck,Neck Rotation
41,163,72,1,Quadriceps,Lunges
29,171,66,0,Lower Back,Knee To Chest Stretch
44,179,74,0,Shoulders,Arom Side lying Abduction
30,170,65,1,Neck,Neck Rotation
35,177,71,0,Quadriceps,Prone Straight Leg Raises
28,185,94,0,Lower Back,Child's Pose
43,180,73,0,Shoulders,Standing Dumbbell Fly
32,170,66,1,Neck,CHIN TUCK - SUPIN
37,175,70,0,Quadriceps,Lunges
26,168,63,1,Lower Back,Child's Pose
41,178,72,0,Shoulders,Standing Dumbbell Fly
29,171,66,1,Neck,Neck Rotation
44,179,74,0,Quadriceps,Lunges
30,170,65,1,Lower Back,Knee To Chest Stretch
35,177,71,0,Shoulders,Side Lateral Raise
28,172,67,1,Neck,CHIN TUCK - SUPIN
43,180,73,0,Quadriceps,Lunges
32,170,66,1,Lower Back,Knee To Chest Stretch
37,175,70,0,Shoulders,Standing Palms In Shoulder Press
26,168,63,1,Neck,CHIN TUCK - SUPIN
41,178,72,0,Quadriceps,Hamstring Curl
29,171,66,1,Lower Back,Child's Pose
44,159,74,1,Shoulders,Power Partials
30,170,65,1,Neck,CHIN TUCK - SUPIN
35,177,71,0,Quadriceps,Prone Straight Leg Raises
28,172,67,1,Lower Back,Child's Pose
43,162,73,1,Shoulders,Power Partials
32,170,66,1,Neck,CHIN TUCK - SUPIN
37,175,70,0,Quadriceps,Hamstring Curl
26,171,68,0,Lower Back,Knee To Chest Stretch
41,178,72,0,Shoulders,Standing Palms In Shoulder Press
29,171,66,1,Neck,CHIN TUCK - SUPIN
44,179,74,0,Quadriceps,Dumbbell front squat
30,169,65,1,Lower Back,Knee To Chest Stretch
35,177,71,0,Shoulders,Side Lateral Raise
28,172,67,1,Neck,Neck Rotation
43,180,73,0,Quadriceps,Dumbbell front squat
32,170,66,1,Lower Back,Knee To Chest Stretch
37,168,70,1,Shoulders,Standing Dumbbell Chest Fly
26,168,63,1,Neck,Neck Rotation
41,178,72,0,Quadriceps,Prone Straight Leg Raises
29,171,66,1,Lower Back,Child's Pose
44,179,74,0,Shoulders,Standing Dumbbell Chest Fly
30,170,65,1,Neck,CHIN TUCK - SUPIN
35,177,71,0,Quadriceps,Dumbbell front squat
28,176,75,0,Lower Back,Knee To Chest Stretch
43,180,73,0,Shoulders,Bent-Over Dumbbell Rear Delt Row
32,170,66,1,Neck,Neck Rotation
37,175,70,0,Quadriceps,Hamstring Curl
26,168,63,1,Lower Back,Child's Pose
41,178,72,0,Shoulders,Alternating Dumbbell Front Raise
29,188,99,0,Neck,Neck Rotation
44,179,74,0,Quadriceps,Prone Straight Leg Raises
30,170,65,1,Lower Back,Knee To Chest Stretch
35,177,71,0,Shoulders,Alternating Dumbbell Front Raise
28,172,67,1,Neck,Neck Rotation
43,180,73,0,Quadriceps,Dumbbell front squat
32,170,66,1,Lower Back,Knee To Chest Stretch
37,175,70,0,Shoulders,Arom Side lying Abduction
26,168,63,1,Neck,Neck Rotation
41,178,72,0,Quadriceps,Prone Straight Leg Raises
29,171,66,1,Lower Back,Child's Pose
44,179,74,0,Shoulders,Standing Palms In Shoulder Press
30,170,65,1,Neck,CHIN TUCK - SUPIN
35,177,71,0,Quadriceps,Prone Straight Leg Raises
28,172,67,1,Lower Back,Child's Pose
43,180,73,0,Shoulders,Arom Side lying Abduction
32,160,66,1,Neck,CHIN TUCK - SUPIN
26,168,63,1,Neck,CHIN TUCK - SUPIN
41,178,72,0,Quadriceps,Dumbbell front squat
29,171,66,1,Lower Back,Child's Pose
44,179,74,0,Shoulders,Standing Dumbbell Shoulder Press
30,170,65,1,Neck,Neck Rotation
35,177,71,0,Quadriceps,Dumbbell front squat
28,172,67,1,Lower Back,Child's Pose
16,156,70,1,Quadriceps,Prone Straight Leg Raises
17,158,72,1,Quadriceps,Dumbbell front squat
29,162,75,1,Quadriceps,Dumbbell front squat
25,154,68,1,Shoulders,Standing Dumbbell Shoulder Press
22,155,50,1,Shoulders,Alternating Deltoid Raise
35,159,60,1,Shoulders,Alternating Deltoid Raise
35,179,85,0,Shoulders,Cuban Press
36,162,65,1,Shoulders,Arom Side lying Abduction
37,165,72,1,Shoulders,Cuban Press
39,181,90,0,Shoulders,Bent-Over Dumbbell Rear Delt Row
29,177,95,0,Shoulders,Standing Palms In Shoulder Press
27,185,102,0,Shoulders,Alternating Dumbbell Front Raise
29,183,105,0,Shoulders,Standing Palms In Shoulder Press
24,182,90,0,Shoulders,Alternating Dumbbell Front Raise
22,195,109,0,Shoulders,Bent-Over Dumbbell Rear Delt Row
22,177,90,0,Quadriceps,Hamstring Curl
22,173,79,0,Quadriceps,Prone Straight Leg Raises
46,194,100,0,Quadriceps,Lunges
48,173,78,1,Quadriceps,Lunges
47,174,88,0,Quadriceps,Lunges
47,175,78,0,Lower Back,Child's Pose
44,175,92,0,Shoulders,Standing Dumbbell Fly
41,174,80,1,Shoulders,Standing Dumbbell Fly
41,178,76,0,Shoulders,Alternating Deltoid Raise
42,175,70,0,Shoulders,Prone Horizontal Abduction
47,182,76,0,Lower Back,Knee To Chest Stretch
44,163,95,1,Lower Back,Child's Pose
19,179,84,0,Lower Back,Knee To Chest Stretch
19,153,45,1,Lower Back,Child's Pose
19,155,48,1,Lower Back,Knee To Chest Stretch
18,166,74,1,Neck,CHIN TUCK - SUPIN
19,174,83,0,Neck,Neck Rotation
37,175,70,0,Shoulders,Prone Horizontal Abduction
26,168,63,1,Neck,Neck Rotation
41,178,72,0,Quadriceps,Prone Straight Leg Raises
29,171,66,1,Lower Back,Knee To Chest Stretch
44,179,74,0,Shoulders,Prone Horizontal Abduction
30,170,65,1,Neck,Neck Rotation
35,177,71,0,Quadriceps,Hamstring Curl
28,172,67,1,Lower Back,Child's Pose
43,180,73,0,Shoulders,Dumbbell Front Raise
32,170,66,1,Neck,Neck Rotation
37,175,70,0,Quadriceps,Dumbbell front squat
26,169,63,1,Lower Back,Knee To Chest Stretch
41,178,72,0,Shoulders,Dumbbell External Shoulder Rotation
29,171,66,1,Neck,Neck Rotation
44,179,74,0,Quadriceps,Dumbbell front squat
30,170,65,1,Lower Back,Knee To Chest Stretch
